0|-14136,-15692,-146,3229,-485,3122,65,-290,-2634,190
1|80,0,0,0
0|-14205,-14695,4213,6727,-365,3156,21,7187,-5387,-145
1|99,0,0,0
0|-14189,-15457,2938,11844,-223,3181,-328,5570,-11408,-539
1|73,0,0,0
0|-14728,-18432,3963,6097,-722,2871,-1219,-3783,20071,-6441
1|83,0,0,0
0|-14327,-13773,635,7289,-734,2019,-84,-9332,-6414,234
1|93,0,0,0
0|-14115,-16849,510,741,-961,1481,817,4137,-3733,-1432
1|132,0,0,0
0|-14702,-16082,-902,1817,-962,1501,937,30,-2090,-326
1|61,0,0,0
0|-14512,-15909,-1660,4636,-847,1426,1178,-56,-4595,924
1|60,0,0,0
0|-14210,-12942,2403,7931,-498,1313,1385,4043,-6857,2001
1|147,0,0,0
0|-14258,-10034,3292,1399,-82,1632,1650,14722,229,-2242
1|63,0,0,0
0|-14269,-17512,2897,4134,-1841,1969,1515,-4069,16108,-5412
1|56,0,0,0
0|-13914,-19336,-538,-2727,-3865,2088,287,-4917,-6334,-375
1|75,0,0,0
0|-14390,-16310,-658,1350,-4175,1654,1459,1333,-3625,-797
1|81,0,0,0
0|-14242,-16005,636,3183,-4044,1564,2064,927,-2813,173
1|36,0,0,0
0|-14527,-15741,-2585,4681,-3807,1526,2510,-2070,-3401,170
1|82,0,0,0
0|-14395,-13121,2896,8190,-3033,1843,3063,8512,-7768,-360
1|72,0,0,0
0|-14332,-12541,3379,4736,-1876,3464,2541,1910,12834,-4376
1|75,0,0,0
0|-14343,-16801,1846,3586,-4429,3846,-329,-2793,12089,-4512
1|81,0,0,0
0|-14395,-20316,10527,-2353,-4203,3344,-2157,-1078,-6672,1154
1|71,0,0,0
0|-14464,-16041,-1570,553,-4555,3315,-1183,3358,-2470,-1442
1|127,0,0,0
0|-14475,-15956,-713,2040,-4853,3007,-952,-23,-1369,107
1|68,0,0,0
0|-14232,-16085,-507,3053,-4805,3043,-681,-2642,-3128,788
1|54,0,0,0
0|-14131,-16535,-949,5260,-4692,3269,36,95,-5408,2256
1|35,0,0,0
0|-14110,-12033,2017,11240,-3989,3632,768,1762,-5124,530
1|92,0,0,0
0|-14036,-12420,3775,11952,-3266,3786,791,4553,-2390,45
1|99,0,0,0
0|-14263,-17477,4270,5320,-3497,3230,-1102,-3041,12503,-4164
1|73,0,0,0
0|-13967,-15361,2766,4790,-2754,2860,-2452,2421,4161,-2129
1|67,0,0,0
0|-14195,-16416,497,-2485,-2820,2656,-2597,-480,-1040,-301
1|64,0,0,0
0|-14432,-16028,1793,-728,-2976,2787,-2231,-546,-743,-398
1|66,0,0,0
0|-14200,-16145,192,-537,-3081,2720,-2160,295,-1142,-630
1|68,0,0,0
0|-13856,-16307,-170,1699,-3432,2560,-1748,2279,-2796,-1907
1|68,0,0,0
0|-13920,-15470,-343,3518,-3650,2374,-1462,-403,-1466,-274
1|36,0,0,0
0|-13872,-15750,-3309,4124,-3799,2221,-1373,1066,-1273,-1432
1|48,0,0,0
0|-14580,-15729,-1133,4653,-4000,1837,-1244,2912,-3561,-474
1|33,0,0,0
0|-14284,-15796,-2004,9640,-4374,1305,-734,14565,-9666,-2577
1|193,0,0,0
0|-13846,-20308,1991,5185,-3652,-662,-3209,-8123,17289,-4565
