0|-14406,-16205,-238,5736,-942,1899,2164,-523,-5827,1846
1|300,0,0,0
0|-14527,-12699,3639,11100,-76,2447,1989,6374,-8113,863
1|167,0,0,0
0|-14818,-18546,4063,4890,-259,3354,756,-2777,16923,-7545
1|0,0,0,0
0|-14670,-13843,911,2225,-2242,2806,-500,-3519,-1253,-1061
1|0,0,0,0
0|-14823,-15752,-4726,-464,-2283,2829,353,-4222,-3333,-494
1|73,0,0,0
0|-14453,-16159,-274,2232,-2286,2642,956,-2748,-3003,-64
1|43,0,0,0
0|-14453,-16656,-529,5282,-1890,2705,1302,802,-4884,272
1|68,0,0,0
0|-14871,-10470,-233,7722,-973,3047,825,4715,-4854,-727
1|256,0,0,0
0|-15177,-19533,2895,5132,-764,2510,-303,-5169,17798,-7277
